citing,cited,citing_sic,citing_gyear,citing_icl,cited_sic,cited_gyear,cited_icl
6789086,6714935,7372,2004,G06F,7372,2004,G06F
6789086,6721742,7372,2004,G06F,7370,2004,G06F
6789086,6721747,7372,2004,G06F,7372,2004,G06F
6789116,6690668,3674,2004,G06F,3674,2004,H04L
6789143,6694361,7370,2004,G06F,3674,2004,G06F
6789143,6704831,7370,2004,G06F,3571,2004,G06F
6789245,6708314,3571,2004,G06F,3571,2004,G06F
6789254,6675230,7370,2004,G06F,7370,2004,G06F
6789254,6675371,7370,2004,G06F,3570,2004,G06F
6789307,6683581,4813,2004,H01P,4813,2004,H01Q
6789392,6711908,3630,2004,F25B,3630,2004,F25B
6789624,6702018,1600,2004,E21B,1600,2004,E21B
6789624,6702019,1600,2004,E21B,1600,2004,E21B
6789730,6676018,3578,2004,G06F,3578,2004,G06F
6789886,6702436,3577,2004,B41J,3570,2004,B41J
6789890,6679602,3570,2004,B41J,3570,2004,B41J
6790005,6672829,9997,2004,F01D,9997,2004,F01D
6790057,6709277,9997,2004,H01R,3674,2004,H01R
6790585,6713226,3861,2004,G03C,3861,2004,G03C
6790686,6687561,3674,2004,H01L,3674,2004,G06F
6790738,6680502,3674,2004,H01L,3674,2004,H01L
6790738,6686235,3674,2004,H01L,3674,2004,H01L
6790748,6686642,3674,2004,H01L,3570,2004,H01L
6790752,6682947,3674,2004,H01L,3674,2004,H01L
6791016,6727410,2820,2004,A01H,2820,2004,A01H
6791185,6696757,3674,2004,H01L,3674,2004,H01L
6791189,6691407,3674,2004,H01L,3674,2004,H05K
6791204,6697270,3728,2004,F02C,3728,2004,H02H
6791204,6713892,3728,2004,F02C,3510,2004,F02N
6791274,6703080,3679,2004,H01J,2911,2004,B05D
6791362,6700410,3728,2004,H03K,3571,2004,H03K
6791403,6741148,3812,2004,H01L,3812,2004,H01P
6791487,6700527,3728,2004,G01S,3812,2004,G01S
6791583,6731308,3571,2004,G09G,3571,2004,G09G
6791753,6697198,3674,2004,G02B,3663,2004,G02B
6791855,6697912,7370,2004,G11C,3674,2004,G06E
6791872,6720597,3570,2004,G11C,3663,2004,H01L
6791872,6724652,3570,2004,G11C,3674,2004,G11C
6791885,6674115,3674,2004,G11C,3674,2004,H01L
6791885,6687427,3674,2004,G11C,3674,2004,G02B
